t,t1,t2,t3,t4
t1,1.0,0.6617170354041492,0.6029528961103452,0.5089367588968626
t2,0.6617170354041492,1.0,0.7205751486704804,0.6480900955900255
t3,0.6029528961103452,0.7205751486704804,1.0,0.7745255656407206
t4,0.5089367588968626,0.6480900955900255,0.7745255656407206,1.0

Metric,Value
Quality Score,0.6527995833854306
Execution Time (s),pvd_analysis/DataSet00/exp240104_00_01_/mip_cosine_similarity.csv'
